,meastype,gas,unit,sector_number,category,classification,source,target,type,subcategory,region,tdetail,mmsys,IPCC2006,Reference 2006,IPCC1997,Reference 1997,option,measure,variableUID,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,17,,4,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,18,,4,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,19,,5,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,20,,5,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,21,,5,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,22,,6,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,23,,6,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,24,,6,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,25,,7,Table 10.14,7,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,26,,10,Table 10.14,11,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,27,,10,Table 10.14,11,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392010,IEF,CH4,kg/head/year,3.B.1.3,Piglets,CH4 Emissions,,,,,Eastern Europe,?28,,10,Table 10.14,11,Table 4.6,,Implied emission factor,CFDB90A6-2443-494D-BC14-56AF994E33F8,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,?10,,3,Table 10.14,4,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,11,,3,Table 10.14,4,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,12,,3,Table 10.14,4,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,13,,3,Table 10.14,4,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,14,,3,Table 10.14,4,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,15,,4,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,16,,4,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,17,,4,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,18,,4,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,19,,5,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,20,,5,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,21,,5,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,22,,6,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,23,,6,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,24,,6,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,25,,7,Table 10.14,7,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,26,,10,Table 10.14,11,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,27,,10,Table 10.14,11,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
392510,IEF,CH4,kg/head/year,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,Eastern Europe,?28,,10,Table 10.14,11,Table 4.6,,Implied emission factor,0132212B-08F3-4D7E-9982-8A1EBA4C0C0C,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,?10,,3,Table 10.14,4,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,11,,3,Table 10.14,4,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,12,,3,Table 10.14,4,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,13,,3,Table 10.14,4,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,14,,3,Table 10.14,4,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,15,,4,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,16,,4,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,17,,4,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,18,,4,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,19,,5,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,20,,5,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,21,,5,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,22,,6,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,23,,6,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,24,,6,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,25,,7,Table 10.14,7,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,26,,10,Table 10.14,11,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,27,,10,Table 10.14,11,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393110,IEF,CH4,kg/head/year,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,Eastern Europe,?28,,10,Table 10.14,11,Table 4.6,,Implied emission factor,3DE5A3F2-E5B7-4630-8D43-EA6B7CAF4164,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,?10,,4,Table 10.14,4,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,11,,5,Table 10.14,4,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,12,,5,Table 10.14,4,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,13,,5,Table 10.14,4,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,14,,5,Table 10.14,4,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,15,,6,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,16,,7,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,17,,7,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,18,,7,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,19,,8,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,20,,8,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,21,,9,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,22,,9,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,23,,10,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,24,,11,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,25,,12,Table 10.14,7,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,26,,16,Table 10.14,11,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,27,,17,Table 10.14,11,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
393610,IEF,CH4,kg/head/year,3.B.1.3,Sows,CH4 Emissions,,,,,Eastern Europe,?28,,17,Table 10.14,11,Table 4.6,,Implied emission factor,F7FDE2C2-3DC8-4C62-8369-94769198E72A,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,?10,,4,Table 10.14,4,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,11,,5,Table 10.14,4,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,12,,5,Table 10.14,4,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,13,,5,Table 10.14,4,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,14,,5,Table 10.14,4,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,15,,6,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,16,,7,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,17,,7,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,18,,7,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,19,,8,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,20,,8,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,21,,9,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,22,,9,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,23,,10,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,24,,11,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,25,,12,Table 10.14,7,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,26,,16,Table 10.14,11,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,27,,17,Table 10.14,11,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
394110,IEF,CH4,kg/head/year,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,Eastern Europe,?28,,17,Table 10.14,11,Table 4.6,,Implied emission factor,AB9E9BAA-B14D-47F8-A74E-359CC59BC7A9,,,
405910,IEF,CH4,kg/head/year,3.B.1.3,Swine,CH4 Emissions,,Cool,,,Eastern Europe,,,,,4,Table 4.6,,Implied emission factor,A8D2D0C9-420B-40C6-9CD3-20F9E5138EBD,,,
405910,IEF,CH4,kg/head/year,3.B.1.3,Swine,CH4 Emissions,,Temperate,,,Eastern Europe,,,,,7,Table 4.6,,Implied emission factor,A8D2D0C9-420B-40C6-9CD3-20F9E5138EBD,,,
405910,IEF,CH4,kg/head/year,3.B.1.3,Swine,CH4 Emissions,,Warm,,,Eastern Europe,,,,,11,Table 4.6,,Implied emission factor,A8D2D0C9-420B-40C6-9CD3-20F9E5138EBD,,,
4226,IEF,CH4,kg/head/year,3.B.1.3,Swine unspecified,CH4 Emissions,,Cool,,,Eastern Europe,,,,,4,Table 4.6,,Implied emission factor,68B1E0CD-6DD3-4A7D-A209-777309E29A9A,,,
4226,IEF,CH4,kg/head/year,3.B.1.3,Swine unspecified,CH4 Emissions,,Temperate,,,Eastern Europe,,,,,7,Table 4.6,,Implied emission factor,68B1E0CD-6DD3-4A7D-A209-777309E29A9A,,,
4226,IEF,CH4,kg/head/year,3.B.1.3,Swine unspecified,CH4 Emissions,,Warm,,,Eastern Europe,,,,,11,Table 4.6,,Implied emission factor,68B1E0CD-6DD3-4A7D-A209-777309E29A9A,,,
42663,IEF,CH4,kg/head/year,3.B.1.4,Other Livestock,CH4 Emissions,,,,,,,,,,,,,Implied emission factor,07C8C5E5-637C-4341-9D61-67938A2CEB64,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,?10,,4,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,11,,4,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,12,,5,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,13,,5,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,14,,5,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,15,,6,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,16,,7,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,17,,7,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,18,,8,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,19,,9,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,20,,9,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,21,,10,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,22,,11,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,23,,12,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,24,,13,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,25,,14,Table 10.14,8,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,26,,15,Table 10.14,17,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,27,,16,Table 10.14,17,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Western Europe,?28,,17,Table 10.14,17,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Eastern Europe,?10,,5,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Eastern Europe,11,,5,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Eastern Europe,12,,5,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Eastern Europe,13,,6,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
43483,IEF,CH4,kg/head/year,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,Eastern Europe,14,,6,Table 10.14,3,Table 4.6,,Implied emission factor,B540C507-8AEA-45D7-94B0-12F5C77F9A24,,,
